n_Full,n_Scalar,n_NeighborProp
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
409,1,1
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,8
402,8,15
387,23,20
367,43,21
345,65,22
322,88,23
299,111,23
276,134,23
252,158,23
228,182,24
203,207,24
178,232,25
153,257,25
128,282,25
102,308,24
77,333,24
52,358,26
26,384,24
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
409,1,1
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,8
402,8,15
387,23,20
367,43,21
346,64,23
323,87,24
300,110,24
277,133,24
253,157,24
228,182,24
204,206,25
179,231,26
153,257,25
128,282,25
103,307,25
78,332,25
53,357,27
26,384,24
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
409,1,1
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,8
402,8,15
387,23,20
367,43,21
346,64,23
323,87,24
300,110,24
277,133,24
253,157,24
229,181,25
204,206,25
179,231,26
153,257,25
128,282,25
103,307,25
78,332,25
53,357,27
26,384,24
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
409,1,1
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,8
402,8,15
387,23,20
367,43,21
345,65,22
322,88,23
299,111,23
276,134,23
252,158,23
227,183,23
203,207,24
179,231,26
153,257,25
128,282,25
103,307,25
78,332,25
53,357,27
26,384,24
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
408,2,0
409,1,1
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,8
402,8,15
387,23,20
367,43,21
346,64,23
323,87,24
300,110,24
277,133,24
253,157,24
229,181,25
204,206,25
178,232,25
153,257,25
128,282,25
102,308,24
77,333,24
52,358,26
26,384,24
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
2,408,0
