n_Full,n_Scalar,n_NeighborProp
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
440,27,24
416,51,24
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
261,206,28
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
440,27,24
415,52,23
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
260,207,27
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
439,28,23
416,51,24
391,76,24
367,100,26
341,126,26
315,152,27
287,180,26
260,207,27
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
9,458,7
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
440,27,24
416,51,24
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
261,206,28
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
440,27,24
416,51,24
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
261,206,28
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
439,28,23
416,51,24
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
260,207,27
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
466,1,1
466,1,0
466,1,0
466,1,0
466,1,0
466,1,0
467,0,2
467,0,10
458,9,18
440,27,24
416,51,24
392,75,25
367,100,26
341,126,26
315,152,27
288,179,27
261,206,28
233,234,27
206,261,28
178,289,27
151,316,28
123,344,28
95,372,28
67,400,29
38,429,28
10,457,8
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
465,2,0
465,2,0
465,2,0
465,2,0
2,465,0
2,465,0
2,465,0
2,465,0
2,465,0
465,2,0
2,465,0
465,2,0
2,465,0
