n_Full,n_Scalar,n_NeighborProp
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
314,1,0
314,1,0
314,1,0
314,1,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,2
314,1,0
314,1,0
314,1,0
314,1,1
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,2
314,1,0
314,1,0
314,1,0
314,1,1
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
314,1,0
314,1,0
314,1,0
314,1,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,0
315,0,2
314,1,0
314,1,0
314,1,0
314,1,1
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
313,2,0
