n_Full,n_Scalar,n_NeighborProp
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
346,64,93
252,158,97
152,258,100
51,359,49
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
346,64,93
252,158,97
152,258,100
51,359,49
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
346,64,93
252,158,97
152,258,100
51,359,49
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
348,62,95
253,157,98
155,255,103
52,358,50
2,408,0
2,408,0
2,408,0
2,408,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
409,1,0
410,0,1
410,0,0
410,0,0
410,0,62
346,64,93
252,158,97
152,258,100
51,359,49
2,408,0
2,408,0
2,408,0
2,408,0
