n_Full,n_Scalar
389,20
389,20
397,12
407,2
409,0
409,0
409,0
408,1
389,20
368,41
347,62
324,85
309,100
282,127
258,151
245,164
227,182
207,202
196,213
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
397,12
407,2
409,0
409,0
409,0
397,12
371,38
353,56
334,75
313,96
308,101
285,124
264,145
245,164
229,180
212,197
196,213
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
397,12
407,2
409,0
409,0
409,0
408,1
390,19
370,39
347,62
325,84
307,102
285,124
264,145
248,161
229,180
209,200
195,214
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
397,12
407,2
409,0
409,0
409,0
408,1
389,20
370,39
349,60
329,80
308,101
286,123
266,143
248,161
231,178
212,197
195,214
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
397,12
407,2
409,0
409,0
409,0
401,8
386,23
370,39
342,67
323,86
305,104
283,126
261,148
243,166
226,183
210,199
195,214
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
397,12
407,2
409,0
409,0
409,0
405,4
385,24
369,40
341,68
324,85
304,105
281,128
262,147
245,164
228,181
210,199
195,214
195,214
195,214
195,214
195,214
195,214
195,214
389,20
389,20
389,20
389,20
195,214
195,214
195,214
195,214
389,20
195,214
389,20
195,214
