n_Full,n_Scalar,n_NeighborProp
10971,445,823
10964,452,4257
9544,1872,1211
9568,1848,1871
10926,490,3731
10943,473,565
10964,452,78
10914,502,6618
10978,438,774
10967,449,3470
10992,424,542
10898,518,7650
10882,534,10011
10768,648,7027
10390,1026,8567
5754,5662,1328
10952,464,67
10907,509,7609
10297,1119,8062
7790,3626,3990
10877,539,9146
10796,620,368
10922,494,8425
10937,479,2435
10976,440,183
10947,469,1340
10959,457,462
10935,481,1133
10974,442,335
10928,488,1058
10998,418,8051
5532,5884,2490
10969,447,1130
10982,434,1409
10431,985,5329
10958,458,5204
10846,570,6246
10813,603,3093
10975,441,2982
10956,460,153
11034,382,2040
10991,425,3274
11046,370,670
10971,445,183
11007,409,434
10900,516,88
10769,647,258
7096,4320,4955
10945,471,23
10380,1036,212
9885,1531,67
10774,642,6572
10733,683,183
10775,641,439
10898,518,337
10917,499,207
10972,444,217
10921,495,40
10946,470,167
10758,658,15
11042,374,3733
10983,433,2355
11056,360,617
7240,4176,4086
10978,438,342
11016,400,257
11029,387,4945
11019,397,320
11035,381,247
11000,416,153
11057,359,3383
11012,404,166
11063,353,191
10981,435,428
11050,366,586
10984,432,1217
10970,446,7101
10837,579,122
10905,511,7406
10882,534,7514
10900,516,359
10925,491,185
10944,472,1167
10944,472,47
10811,605,10294
10835,581,10767
10830,586,513
10865,551,252
10942,474,586
10934,482,4540
10982,434,3265
10874,542,410
10894,522,7246
10915,501,3162
11000,416,1744
10783,633,271
10957,459,198
10973,443,150
11022,394,361
10982,434,1352
11022,394,455
10889,527,4661
10938,478,382
10916,500,3530
10982,434,277
10921,495,43
8362,3054,2063
10793,623,9669
10843,573,118
10809,607,94
10725,691,2723
10618,798,2533
10937,479,107
10918,498,105
10969,447,240
10963,453,24
10865,551,156
10748,668,5204
9608,1808,264
9271,2145,73
11040,376,2526
11009,407,608
11015,401,450
10914,502,9983
10951,465,281
10969,447,9722
11010,406,2475
10784,632,9727
11011,405,586
11033,383,6871
11078,338,6701
11036,380,3062
11054,362,10245
10957,459,554
10995,421,1934
10948,468,1935
10983,433,8131
10848,568,3105
10677,739,7935
9838,1578,517
9545,1871,6150
10763,653,2424
10880,536,439
10797,619,180
10929,487,2726
10927,489,237
10957,459,278
10962,454,642
10945,471,1039
10963,453,728
10965,451,370
10965,451,182
10924,492,1227
10870,546,472
8449,2967,8290
7611,3805,6710
10798,618,9314
10896,520,4214
10947,469,3800
10639,777,6759
10959,457,4571
10970,446,10965
11025,391,293
10996,420,1409
10995,421,230
10135,1281,113
8728,2688,182
10785,631,8328
10732,684,125
8555,2861,2563
7313,4103,2956
5981,5435,3638
10711,705,6937
10764,652,119
10390,1026,2810
10163,1253,6581
10945,471,2660
10949,467,12
10983,433,95
10843,573,115
11005,411,859
10980,436,3694
11000,416,1970
11000,416,2259
10969,447,3931
10844,572,8855
10962,454,3283
10972,444,592
11011,405,4183
10996,420,2714
10996,420,929
10548,868,1566
10952,464,5863
10959,457,574
11047,369,488
11025,391,297
11019,397,276
10911,505,3827
10980,436,382
10771,645,1197
10946,470,1525
10909,507,6757
10984,432,10973
10929,487,124
10977,439,346
10908,508,62
10929,487,474
10601,815,390
10638,778,942
10671,745,6903
7418,3998,2623
10721,695,8402
10816,600,417
9002,2414,4298
10549,867,2801
10868,548,892
10912,504,3894
10912,504,252
10979,437,1100
10952,464,109
10987,429,9410
10934,482,174
10970,446,9057
10547,869,370
10838,578,720
10888,528,10824
10805,611,8913
10898,518,6692
10925,491,7609
10899,517,8770
10958,458,7789
10868,548,6592
10802,614,733
10116,1300,6220
10765,651,1066
10524,892,472
10974,442,6999
10918,498,28
10741,675,6122
10560,856,9904
10823,593,84
10829,587,9379
10734,682,2894
10883,533,560
10902,514,131
10877,539,555
10938,478,5456
8335,3081,1599
8465,2951,5421
7599,3817,3045
9042,2374,6794
7838,3578,2685
7818,3598,4218
6459,4957,2691
7117,4299,6817
5687,5729,4
1699,9717,1498
2964,8452,2560
2902,8514,2494
3309,8107,3285
2038,9378,1573
7339,4077,7222
7368,4048,7314
7392,4024,7250
5172,6244,4977
5369,6047,5184
2275,9141,1887
2527,8889,2369
769,10647,193
830,10586,369
1040,10376,877
650,10766,22
9856,1560,9845
9919,1497,9915
1688,9728,1286
3396,8020,3172
4149,7267,3970
4032,7384,3843
4044,7372,4016
1195,10221,819
1360,10056,1180
1097,10319,890
1675,9741,1468
1673,9743,1488
3071,8345,2958
2342,9074,2208
6180,5236,6177
5674,5742,5671
10508,908,10505
10524,892,10521
10619,797,10616
6865,4551,6658
10349,1067,10346
9961,1455,9958
9990,1426,9987
9988,1428,9985
10450,966,10447
3238,8178,2911
3426,7990,3244
2502,8914,2317
4584,6832,4346
2783,8633,2267
9855,1561,9839
9824,1592,9803
1113,10303,942
801,10615,259
902,10514,601
1060,10356,730
3135,8281,2823
3092,8324,2701
3174,8242,3060
5746,5670,5519
5817,5599,5685
5839,5577,5776
766,10650,158
2972,8444,2590
8588,2828,8539
8490,2926,8400
9559,1857,9556
5674,5742,5671
1248,10168,667
648,10768,15
9820,1596,9800
5673,5743,5670
