n_Full,n_Scalar,n_NeighborProp
82436,6,72539
82436,6,78054
28598,53844,3558
28836,53606,5713
37441,45001,25422
53556,28886,48128
53556,28886,12141
74583,7859,70433
73181,9261,59143
75500,6942,65972
37381,45061,5677
48645,33797,44431
35764,46678,12528
22262,60180,6189
33504,48938,30762
29539,52903,1040
82436,6,0
82415,27,78535
31960,50482,28377
38106,44336,34252
48673,33769,47493
56124,26318,19662
26978,55464,9055
77493,4949,69903
77493,4949,4913
57576,24866,46736
57744,24698,25542
55403,27039,42351
82413,29,72527
82411,31,73100
82411,31,79372
52968,29474,51407
82415,27,73003
82415,27,73695
36996,45446,9949
47680,34762,42650
36245,46197,15985
56299,26143,48798
78495,3947,70882
60218,22224,48828
36197,46245,5289
55918,26524,45047
56876,25566,22515
36447,45995,2358
82413,29,73709
82411,31,2
52968,29474,11620
20066,62376,2567
59044,23398,23124
36656,45786,2829
33745,48697,341
34909,47533,30918
36232,46210,1663
55631,26811,20949
59310,23132,22866
35374,47068,1039
35281,47161,1786
35199,47243,242
35924,46518,1199
34574,47868,1
82413,29,71356
82413,29,74632
82413,29,71390
60210,22232,58333
82434,8,71127
82434,8,69804
52539,29903,46821
67558,14884,63879
57621,24821,23318
57287,25155,43151
79676,2766,72720
71547,10895,49390
62946,19496,30768
59904,22538,23732
51045,31397,29897
50114,32328,19575
50667,31775,42109
35303,47139,7
74233,8209,70910
64036,18406,43961
82434,8,0
82415,27,71837
57164,25278,26689
58112,24330,44856
38107,44335,36020
45546,36896,44174
57012,25430,48402
58401,24041,22143
58569,23873,22411
51057,31385,43991
56678,25764,49409
52040,30402,22847
45111,37331,38392
45035,37407,24300
65796,16646,55992
64287,18155,12186
82434,8,33
82434,8,71684
57523,24919,18677
46502,35940,18813
41827,40615,11672
55122,27320,47026
55726,26716,22460
44695,37747,15088
55756,26686,41875
51054,31388,7435
23936,58506,1665
35013,47429,32970
45034,37408,10286
35848,46594,2
38443,43999,18087
38443,43999,715
82434,8,2
82415,27,71981
37888,44554,14489
75416,7026,56104
74213,8229,63103
71525,10917,63696
35335,47107,3699
31512,50930,0
67430,15012,59021
61957,20485,51581
66224,16218,38509
59152,23290,57384
63603,18839,48598
62610,19832,60881
58527,23915,48590
55820,26622,54211
82434,8,12
82434,8,79359
57993,24449,29607
82419,23,75218
82419,23,1
79058,3384,68709
57435,25007,47923
60124,22318,46764
55774,26668,49760
43789,38653,17981
41532,40910,33079
31241,51201,8139
38173,44269,25300
45177,37265,15827
53512,28930,12263
52344,30098,12682
75672,6770,65722
76399,6043,60367
36444,45998,1577
75021,7421,62631
74980,7462,63466
77586,4856,67333
59699,22743,28101
51322,31120,30967
55549,26893,35180
54013,28429,23901
36435,46007,34499
25166,57276,22119
49655,32787,47252
51632,30810,45357
62722,19720,35957
40266,42176,9700
69883,12559,63694
71409,11033,70882
48135,34307,37286
48129,34313,40257
58545,23897,22264
41139,41303,11440
39213,43229,11435
32891,49551,19099
41534,40908,11447
27337,55105,11440
25005,57437,11821
14919,67523,2810
44422,38020,40470
51632,30810,7210
63201,19241,45306
53233,29209,40697
69883,12559,7247
47662,34780,4845
48129,34313,940
48128,34314,0
66412,16030,35873
69485,12957,63235
67886,14556,58691
66902,15540,58470
65153,17289,57341
62003,20439,59899
59748,22694,51672
48848,33594,29533
58120,24322,49915
52343,30099,31153
79525,2917,77274
77975,4467,5572
82431,11,77598
82431,11,71790
55202,27240,16230
62960,19482,33977
65952,16490,54898
59365,23077,24754
51090,31352,9488
51215,31227,12209
50290,32152,11849
37628,44814,24239
54418,28024,51893
46157,36285,19091
80418,2024,69342
79769,2673,65760
82434,8,71421
82431,11,68007
82429,13,0
82407,35,78993
24807,57635,7100
36663,45779,33947
38229,44213,6354
27098,55344,20389
31792,50650,9355
45283,37159,29137
48064,34378,41715
52286,30156,22219
56741,25701,42349
56621,25821,24844
80853,1589,69206
80339,2103,1139
82434,8,80332
82432,10,1
82414,28,11144
82412,30,81838
38639,43803,35992
37555,44887,30217
51980,30462,47093
47334,35108,44694
44464,37978,39892
43866,38576,39271
47268,35174,7344
31194,51248,15731
41962,40480,16074
30005,52437,9234
48314,34128,39744
47951,34491,8
82412,30,78112
81590,852,79198
82429,13,0
82410,32,80281
48350,34092,41220
48808,33634,2229
76869,5573,65797
76926,5516,1586
44754,37688,31181
39114,43328,32434
39479,42963,34655
45709,36733,37080
33838,48604,15803
31549,50893,24372
41933,40509,37066
34977,47465,31223
44052,38390,42668
18574,63868,1
