n_Full,n_Scalar,n_NeighborProp
2255,6,2
2255,6,2
2253,8,0
2254,7,1
2254,7,0
2254,7,1
2254,7,0
2255,6,3
2255,6,1
2254,7,1
2254,7,0
2254,7,2
2254,7,311
2254,7,2
2253,8,1
2252,9,253
2255,6,0
2254,7,2
2254,7,191
2254,7,87
2254,7,1074
2254,7,0
2254,7,2
2254,7,2
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2254,7,2
2253,8,692
2254,7,0
2254,7,0
2254,7,2
2254,7,0
2254,7,2
2255,6,3
2255,6,2
2255,6,1
2254,7,1
2254,7,2
2254,7,2
2254,7,0
2254,7,0
2254,7,1
2253,8,0
2252,9,523
2254,7,0
2254,7,0
2254,7,0
2253,8,1
2253,8,0
2255,6,2
2255,6,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2254,7,1
2254,7,1
2254,7,377
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2255,6,1
2255,6,0
2255,6,1
2255,6,1
2254,7,0
2254,7,1
2254,7,1
2254,7,0
2254,7,421
2254,7,0
2254,7,2
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,1835
2254,7,882
2254,7,1
2254,7,0
2254,7,1
2254,7,1
2254,7,1
2254,7,1
2254,7,1
2254,7,1
2254,7,2
2253,8,0
2256,5,2
2256,5,2
2256,5,2
2254,7,2
2254,7,0
2254,7,1
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2252,9,0
2254,7,477
2254,7,0
2254,7,0
2252,9,0
2252,9,715
2256,5,2
2256,5,0
2254,7,1
2254,7,0
2254,7,0
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2254,7,0
2254,7,486
2254,7,0
2254,7,525
2254,7,1
2253,8,644
2256,5,2
2256,5,4
2256,5,2
2254,7,0
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2253,8,1
2253,8,1
2254,7,1
2254,7,1
2253,8,0
2253,8,0
2253,8,0
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2253,8,0
2253,8,0
2252,9,675
2252,9,381
2253,8,1
2253,8,0
2253,8,1
2252,9,0
2254,7,1
2254,7,1727
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2253,8,0
2253,8,1
2253,8,0
2252,9,555
2252,9,109
2252,9,1108
2253,8,1
2253,8,0
2252,9,0
2252,9,0
2254,7,0
2254,7,0
2254,7,0
2253,8,0
2254,7,1
2254,7,1
2254,7,1
2254,7,0
2254,7,2
2253,8,754
2254,7,1
2254,7,2
2254,7,2
2254,7,2
2254,7,3
2253,8,0
2254,7,2
2254,7,1
2254,7,0
2254,7,0
2254,7,1
2254,7,1
2254,7,0
2254,7,0
2254,7,1
2254,7,2
2254,7,808
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2252,9,0
2253,8,0
2252,9,0
2253,8,1
2254,7,775
2254,7,1
2254,7,1
2254,7,1
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,0
2254,7,1
2254,7,0
2254,7,152
2253,8,1
2254,7,2
2254,7,1680
2253,8,1
2254,7,204
2254,7,1
2254,7,201
2253,8,1
2252,9,0
2252,9,0
2254,7,2
2254,7,0
2253,8,1
2254,7,1
2254,7,0
2253,8,0
2251,10,491
2254,7,0
2252,9,125
2253,8,1
2254,7,1
2254,7,1
2254,7,1
2254,7,2
2252,9,0
2253,8,203
2253,8,0
2253,8,229
2253,8,1
2253,8,25
2253,8,155
2253,8,869
2253,8,1
